Episode 188, Reward: 9.0, Avg Critic Loss: 0.2622, Avg Actor Loss: -9.9981, Avg Alpha Loss: -0.8419Updates: 1513
Episode 189, Reward: 20.0, Avg Critic Loss: 0.1923, Avg Actor Loss: -10.0553, Avg Alpha Loss: -0.8476Updates: 1533
Episode 190, Reward: 16.0, Avg Critic Loss: 0.1397, Avg Actor Loss: -10.2497, Avg Alpha Loss: -0.8589Updates: 1549
Episode 191, Reward: 12.0, Avg Critic Loss: 0.2044, Avg Actor Loss: -10.3009, Avg Alpha Loss: -0.8565Updates: 1561
Episode 192, Reward: 29.0, Avg Critic Loss: 0.1548, Avg Actor Loss: -10.2970, Avg Alpha Loss: -0.8575Updates: 1590
Episode 193, Reward: 19.0, Avg Critic Loss: 0.1701, Avg Actor Loss: -10.4619, Avg Alpha Loss: -0.8639Updates: 1609
Episode 194, Reward: 12.0, Avg Critic Loss: 0.2840, Avg Actor Loss: -10.3970, Avg Alpha Loss: -0.8601Updates: 1621
Episode 195, Reward: 11.0, Avg Critic Loss: 0.3307, Avg Actor Loss: -10.4602, Avg Alpha Loss: -0.8646Updates: 1632
Episode 196, Reward: 11.0, Avg Critic Loss: 0.2472, Avg Actor Loss: -10.5373, Avg Alpha Loss: -0.8716Updates: 1643
Episode 197, Reward: 13.0, Avg Critic Loss: 0.1979, Avg Actor Loss: -10.5977, Avg Alpha Loss: -0.8748Updates: 1656
Episode 198, Reward: 9.0, Avg Critic Loss: 0.1652, Avg Actor Loss: -10.5703, Avg Alpha Loss: -0.8700Updates: 1665
